,Time,Id,Competição,Temporada,Logo
0,Avaí,330,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/495_120x120.png
1,Botafogo RJ,323,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/251_120x120.png
2,Brasil de Pelotas,6205,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g6205_120x120.png
3,Brusque,6227,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/2364_120x120.png
4,Confiança,3715,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g3715_120x120.png
5,Coritiba,324,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/488_120x120.png
6,CRB,344,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/502_120x120.png
7,Cruzeiro,304,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/249_120x120.png
8,CSA,6294,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/g6294_120x120.png
9,Goias,307,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/260_120x120.png
10,Guarani,316,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/534_120x120.png
11,Londrina,346,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/4357_120x120.png
12,Naútico,326,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/259_120x120.png
13,Operário,13217,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/2380_120x120.png
14,Ponte Preta,301,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/506_120x120.png
15,Remo,332,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png
16,Sampaio Corrêa,2833,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/3360_120x120.png
17,Vasco da Gama,321,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/253_120x120.png
18,Villa Nova,329,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/503_120x120.png
19,Vitória,306,Brasileiro B,2021,https://cdn5.wyscout.com/photos/team/public/527_120x120.png
20,America MG,337,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/1729_120x120.png
21,Athletico Paranaense,315,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/254_120x120.png
22,Atletico GO,6216,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/1716_120x120.png
23,Atletico MG,317,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/252_120x120.png
24,Bahia,341,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/501_120x120.png
25,Ceara,333,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/493_120x120.png
26,Chapecoense AF,6223,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/2375_120x120.png
27,Corinthians,320,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/248_120x120.png
28,Cuiaba,3719,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/3325_120x120.png
29,Flamengo,318,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/246_120x120.png
30,Fluminense,312,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/245_120x120.png
31,Fortaleza,327,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/500_120x120.png
32,Gremio,313,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/247_120x120.png
33,Internacional,308,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/255_120x120.png
34,Juventude,314,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/507_120x120.png
35,Palmeiras,310,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/250_120x120.png
36,Red Bull Bragantino,2827,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/498_120x120.png
37,Santos FC,319,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/244_120x120.png
38,Sao Paulo,302,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/243_120x120.png
39,Sport Recife,338,Brasileiro A,2021,https://cdn5.wyscout.com/photos/team/public/258_120x120.png
